2022-08-18 15:45:59:175 -3.1039455 -3.4679885 6.1312504

2022-08-18 15:45:59:176 -3.0057497 -4.27032 6.0570045

2022-08-18 15:45:59:176 -2.8141482 -4.9169755 5.9061184

2022-08-18 15:45:59:177 -2.548301 -5.3935843 5.613926

2022-08-18 15:45:59:177 -2.311194 -5.750442 5.319339

2022-08-18 15:45:59:178 -2.1627028 -6.047425 4.9385304

Gyro -4.488636 -0.24068081 1.832595

2022-08-18 15:45:59:248 -2.0429518 -6.2438164 4.5625124

2022-08-18 15:45:59:249 -1.7675245 -6.478528 4.5936475

2022-08-18 15:45:59:250 -1.5495777 -7.158714 4.6774735

2022-08-18 15:45:59:250 -1.5112574 -8.073611 4.6032276

2022-08-18 15:45:59:251 -1.6262183 -8.772957 4.687053

2022-08-18 15:45:59:251 -1.5543678 -9.189691 4.87626

2022-08-18 15:45:59:252 -1.2885206 -9.376502 4.993616

2022-08-18 15:45:59:252 -0.94603276 -9.436378 4.9361353

Gyro -5.3633947 -0.9847144 1.9254465

2022-08-18 15:45:59:326 -0.71371585 -9.73815 4.7014236

2022-08-18 15:45:59:327 -0.8214917 -10.380015 4.28948

2022-08-18 15:45:59:329 -1.101709 -10.813514 4.258345

2022-08-18 15:45:59:330 -1.2813355 -11.203902 4.423601

2022-08-18 15:45:59:331 -1.4154567 -11.64219 4.3230104

2022-08-18 15:45:59:331 -1.6453785 -11.773916 4.2176294

2022-08-18 15:45:59:332 -1.705254 -11.397899 4.239185

2022-08-18 15:45:59:332 -1.465752 -10.962005 4.25595

Gyro -4.3237023 -1.1276568 1.9596549

2022-08-18 15:45:59:400 -1.219065 -10.770403 4.2367897

2022-08-18 15:45:59:401 -1.1951149 -10.890154 4.4451566

2022-08-18 15:45:59:402 -1.4585669 -11.347603 4.6822634

2022-08-18 15:45:59:402 -1.8848804 -11.843372 4.998406

2022-08-18 15:45:59:403 -2.2106032 -12.25771 5.2858086

